day,characterId,characterName,mode,dialogID,text,triggerOrder,windowspicture,eventId,playerpicture,soundId
0,player,Me,random,0_ra_1,(什么时候才能下课呢？),0,,1,,
0,player,Me,random,0_ra_2,(一只迷路的蜜蜂在窗子上撞击，有学生被吸引过去了。),0,,2,,
0,player,Me,random,0_ra_3,(窗外的树荫里有鸟闪过，已经到了日落的时刻。),0,,3,,
0,player,Me,random,0_ra_4,(如果重力反转，我们站在天花板上。坐在房梁上上课呢？),0,,4,,
0,player,Me,random,0_ra_5,(窗外),0,,5,,
0,player,Me,random,0_ra_5,(夏天的光线密集的像是固体，教室躲在墙后尚且是阴凉的，而暴露在阳光下的一切都炫目地闭上了眼。),1,,5,,
0,player,Me,random,0_ra_6,(都说夏天是最好的季节，童年是最好的人生。),0,,6,,
0,player,Me,random,0_ra_6,(是的，我万分同意。我已经确凿可见我在苍老的冬日，陷入沉思，一万次想要回到当下。),1,,6,,
0,player,Me,random,0_ra_6,(可现在，在这阳光最热烈的一天，我们该做什么，才算不虚度光阴呢。),2,,6,,
0,player,Me,random,0_ra_7,(窗帘的缝隙出现了丁达尔效应，平日不可见的灰尘在光柱里起舞。),0,,7,,
0,player,Me,random,0_ra_8,(老师讲课的声音渐渐模糊了。),0,,8,,
1,player,Me,random,1_ra_9,(Minna是前台的招牌，穿着总是恰到好处的精致。),0,,9,,
1,player,Me,random,1_ra_9,(今天Julian和她滔滔不绝的时候，Minna老师只是在礼貌的笑，她眼神其实在看走廊尽头的饮水机。),1,,9,,
1,player,Me,random,1_ra_10,(要是Julian老师真的像他说的那样在国外混得那么开，为什么会回我们这个二线城市教初中英语呢。),0,,10,,
1,player,Me,random,1_ra_11,"(*Beyond English, Beyond Yourself.*)",0,,11,,
1,player,Me,random,1_ra_11,(超越英语，超越自己。),1,,11,,
1,player,Me,random,1_ra_11,(可当我们真的超越了英语，该用什么来表达情绪？),2,,11,,
1,player,Me,random,1_ra_11,(当我们真的超越了自己，那我们会变成了，自己之外的，什么呢。),3,,11,,
0,player,Me,random,0_ra_12,(如果Y城也有白夜就好了，这里的人晚上20点就要回家，22点就要睡觉，23点，街上只有孤魂野鬼在游荡。),0,,12,,
1,player,Me,random,1_ra_13,(圆圆还在背单词，似乎沉迷在这个活动中了。),0,,13,,
1,player,Me,random,1_ra_13,(其实会不会单词根本不重要，阅读的时候，用首字母替代就可以了。),1,,13,,
1,player,Me,random,1_ra_13,(J老师在Y城教书，Y老师在J城教书，世界上大部分的名词几乎无所谓，用图形代替都可以。),2,,13,,
1,player,Me,random,1_ra_13,(形容词和副词，是能起到关键的作用，可多数时候，没有也行。（）的J老师在（）的Y城（）地教书。也不会有人关心。),3,,13,,